,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol
0,2024-10-18,236.18,236.18,234.01,235.0,235.0,45441281,45441281,-1.18,-0.49962,235.3425,"October 18, 24",-0.0049962,AAPL
1,2024-10-17,233.43,233.85,230.52,232.15,232.15,32993810,32993810,-1.28,-0.54834,232.4875,"October 17, 24",-0.0054834,AAPL
2,2024-10-16,231.6,232.12,229.84,231.78,231.78,34082240,34082240,0.18,0.07772021,231.335,"October 16, 24",0.0007772021,AAPL
3,2024-10-15,233.61,237.49,232.37,233.85,233.85,64751400,64751400,0.24,0.10274,234.33,"October 15, 24",0.0010274,AAPL
4,2024-10-14,228.7,231.73,228.6,231.3,231.3,39882100,39882100,2.6,1.14,230.0825,"October 14, 24",0.0114,AAPL
5,2024-10-11,229.3,229.41,227.34,227.55,227.55,31759200,31759200,-1.75,-0.76319,228.4,"October 11, 24",-0.0076319,AAPL
6,2024-10-10,227.78,229.5,227.17,229.04,229.04,28183544,28183544,1.26,0.55317,228.3725,"October 10, 24",0.0055317,AAPL
7,2024-10-09,225.23,229.75,224.83,229.54,229.54,33591100,33591100,4.31,1.91,227.3375,"October 09, 24",0.0191,AAPL
8,2024-10-08,224.3,225.98,223.25,225.77,225.77,31855700,31855700,1.47,0.65537,224.825,"October 08, 24",0.0065537,AAPL
9,2024-10-07,224.5,225.69,221.33,221.69,221.69,39505400,39505400,-2.81,-1.25,223.3025,"October 07, 24",-0.0125,AAPL
10,2024-10-04,227.9,228.0,224.13,226.8,226.8,37345098,37345098,-1.1,-0.48267,226.7075,"October 04, 24",-0.0048267,AAPL
11,2024-10-03,225.14,226.81,223.32,225.67,225.67,34044200,34044200,0.53,0.23541,225.235,"October 03, 24",0.0023541,AAPL
12,2024-10-02,225.89,227.37,223.02,226.78,226.78,32880605,32880605,0.89,0.394,225.765,"October 02, 24",0.00394,AAPL
13,2024-10-01,229.52,229.65,223.74,226.21,226.21,63285048,63285048,-3.31,-1.44,227.28,"October 01, 24",-0.0144,AAPL
14,2024-09-30,230.04,233.0,229.65,233.0,233.0,54793391,54793391,2.96,1.29,231.4225,"September 30, 24",0.0129,AAPL
15,2024-09-27,228.46,229.52,227.3,227.79,227.79,34026000,34026000,-0.67,-0.29327,228.2675,"September 27, 24",-0.0029327,AAPL
16,2024-09-26,227.3,228.5,225.41,227.52,227.52,36636707,36636707,0.22,0.09678839,227.1825,"September 26, 24",0.0009678839,AAPL
17,2024-09-25,224.93,227.29,224.02,226.37,226.37,42308715,42308715,1.44,0.6402,225.6525,"September 25, 24",0.006402,AAPL
18,2024-09-24,228.65,229.35,225.73,227.37,227.37,43556100,43556100,-1.28,-0.55981,227.775,"September 24, 24",-0.0055981,AAPL
19,2024-09-23,227.34,229.45,225.81,226.47,226.47,54146023,54146023,-0.87,-0.38269,227.2675,"September 23, 24",-0.0038269,AAPL
20,2024-09-20,229.97,233.09,227.62,228.2,228.2,318679900,318679900,-1.77,-0.76967,229.72,"September 20, 24",-0.0076967,AAPL
21,2024-09-19,224.99,229.82,224.63,228.87,228.87,66781315,66781315,3.88,1.72,227.0775,"September 19, 24",0.0172,AAPL
22,2024-10-18,417.14,419.65,416.26,418.16,418.16,15820564,15820564,1.02,0.24452,417.8025,"October 18, 24",0.0024452,MSFT
23,2024-10-17,422.36,422.5,415.59,416.72,416.72,14820004,14820004,-5.64,-1.34,419.2925,"October 17, 24",-0.0134,MSFT
24,2024-10-16,415.17,416.36,410.48,416.12,416.12,15508932,15508932,0.95,0.22882,414.5325,"October 16, 24",0.0022882,MSFT
25,2024-10-15,422.18,422.48,415.26,418.74,418.74,18900201,18900201,-3.44,-0.81482,419.665,"October 15, 24",-0.0081482,MSFT
26,2024-10-14,417.77,424.04,417.52,419.14,419.14,16653100,16653100,1.37,0.32793,419.6175,"October 14, 24",0.0032793,MSFT
27,2024-10-11,416.14,417.13,413.25,416.32,416.32,14144944,14144944,0.185,0.04325467,415.71,"October 11, 24",0.0004325467,MSFT
28,2024-10-10,415.23,417.35,413.15,415.84,415.84,13848400,13848400,0.615,0.14691,415.3925,"October 10, 24",0.0014691,MSFT
29,2024-10-09,415.86,420.38,414.3,417.46,417.46,14974300,14974300,1.6,0.38474,417.0,"October 09, 24",0.0038474,MSFT
30,2024-10-08,410.9,415.66,408.17,414.71,414.71,19229300,19229300,3.81,0.92723,412.36,"October 08, 24",0.0092723,MSFT
31,2024-10-07,416.0,417.11,409.0,409.54,409.54,20919800,20919800,-6.46,-1.55,412.9125,"October 07, 24",-0.0155,MSFT
32,2024-10-04,418.24,419.75,414.97,416.06,416.06,19190913,19190913,-2.18,-0.52123,417.255,"October 04, 24",-0.0052123,MSFT
33,2024-10-03,417.63,419.55,414.29,416.54,416.54,13686421,13686421,-1.09,-0.261,417.0025,"October 03, 24",-0.00261,MSFT
34,2024-10-02,422.58,422.82,416.71,417.13,417.13,16582300,16582300,-5.45,-1.29,419.81,"October 02, 24",-0.0129,MSFT
35,2024-10-01,428.45,428.48,418.81,420.69,420.69,19092945,19092945,-7.76,-1.81,424.1075,"October 01, 24",-0.0181,MSFT
36,2024-09-30,428.21,430.42,425.37,430.3,430.3,16854606,16854606,2.09,0.48808,428.575,"September 30, 24",0.0048808,MSFT
37,2024-09-27,431.52,431.85,427.47,428.02,428.02,14896131,14896131,-3.5,-0.81109,429.715,"September 27, 24",-0.0081109,MSFT
38,2024-09-26,435.09,435.3,429.13,431.31,431.31,14492044,14492044,-3.77,-0.86879,432.7075,"September 26, 24",-0.0086879,MSFT
39,2024-09-25,429.83,433.12,428.57,432.11,432.11,13396400,13396400,2.28,0.53044,430.9075,"September 25, 24",0.0053044,MSFT
40,2024-09-24,433.0,433.35,426.1,429.17,429.17,17015800,17015800,-3.83,-0.88453,430.405,"September 24, 24",-0.0088453,MSFT
41,2024-09-23,434.28,436.46,430.39,433.51,433.51,15128900,15128900,-0.77,-0.1773,433.66,"September 23, 24",-0.001773,MSFT
42,2024-09-20,437.22,439.24,434.22,435.27,435.27,55167106,55167106,-1.95,-0.446,436.4875,"September 20, 24",-0.00446,MSFT
43,2024-09-19,441.23,441.5,436.9,438.69,438.69,21706600,21706600,-2.54,-0.57566,439.58,"September 19, 24",-0.0057566,MSFT
44,2024-10-18,163.19,164.71,163.08,163.42,163.42,19757661,19757661,0.23,0.14094,163.6,"October 18, 24",0.0014094,GOOGL
45,2024-10-17,165.73,166.37,162.76,162.93,162.93,21453395,21453395,-2.8,-1.69,164.4475,"October 17, 24",-0.0169,GOOGL
46,2024-10-16,164.53,165.8,163.74,165.16,165.16,16406030,16406030,0.63,0.38291,164.8075,"October 16, 24",0.0038291,GOOGL
47,2024-10-15,165.79,167.68,164.63,165.46,165.46,20247200,20247200,-0.325,-0.19905,165.89,"October 15, 24",-0.0019905,GOOGL
48,2024-10-14,163.64,166.23,163.4,164.96,164.96,19016141,19016141,1.32,0.80665,164.5575,"October 14, 24",0.0080665,GOOGL
49,2024-10-11,162.13,163.9,161.24,163.24,163.24,15344300,15344300,1.11,0.68464,162.6275,"October 11, 24",0.0068464,GOOGL
50,2024-10-10,160.87,163.07,160.4,162.08,162.08,14144100,14144100,1.21,0.75216,161.605,"October 10, 24",0.0075216,GOOGL
